id,creado_en,origen,direccion_texto,barrio,comuna,lat_reporte,lon_reporte,precision_reporte,lat_visita,lon_visita,estado,reclamada_por,reclamada_en,tipo_edificacion,num_torres,apts_por_torre,ocupacion,caracterizacion,fallecidos_atrapados,rescatadas_en_sitio,rescatadas_fuente,visitada_por,visitada_en,observaciones,duplicado_de
D-0001,2026-08-09,form_residente,Calle 90 6-51 (ejemplo),Patio Bonito,01,3.46344,-76.58571,geocodificada,3.46344,-76.58571,VERDE,,,vivienda unifamiliar,,,evacuado,Fisuras finas en muros divisorios y en el encuentro muro-cielo del último piso.,No,,,C-07,2026-08-11 14:20,,
D-0002,2026-08-11,form_residente,Calle 42 34-47 (ejemplo),Chipichape,02,3.47403,-76.5288,geocodificada,,,NARANJA,C-03,2026-08-12T12:28:13.829Z,casa,,,sin dato,,No,,,,,,
D-0003,2026-08-10,form_residente,Calle 13 46-14 (ejemplo),Juanambú,02,3.45659,-76.53689,geocodificada,3.45659,-76.53689,ROJO,,,edificio,,,4 personas,Colapso estructural parcial: losa de entrepiso caída y columnas con fisuras pasantes.,Desconocido,4,,C-11,2026-08-11 14:20,,
D-0004,2026-08-10,form_residente,Calle 81 51-34 (ejemplo),El Peñón,03,3.45121,-76.5409,geocodificada,3.45121,-76.5409,ROJO,,,vivienda unifamiliar,,,4 personas,Riesgo alto de colapso: desplome del muro de carga en el costado posterior.,Desconocido,2,,C-01,2026-08-11 14:20,,
D-0005,2026-08-12,form_residente,Calle 34 32-85 (ejemplo),San Pedro,03,3.45336,-76.53056,geocodificada,,,NARANJA,,,casa,,,evacuado,,No,,,,,,
D-0006,2026-08-10,form_residente,Calle 34 59-21 (ejemplo),Sultana - Berlín - San Francisco,04,3.46682,-76.51647,geocodificada,,,NARANJA,C-03,2026-08-12T12:28:13.830Z,casa,,,sin dato,,No,,,,,,
D-0007,2026-08-12,cruz_roja,Calle 44 36-44 (ejemplo),Manzanares,04,3.46562,-76.50829,geocodificada,3.46562,-76.50829,VERDE,,,casa,,,evacuado,"Desprendimiento de piezas de mampostería de ladrillo en fachada, con exposición de material interno.",No,,,C-07,2026-08-11 14:20,,
D-0008,2026-08-10,form_residente,Calle 25 44-10 (ejemplo),Los Parques Barranquilla,05,3.47859,-76.49733,geocodificada,3.47859,-76.49733,VERDE,,,vivienda unifamiliar,,,varía,Fisuras finas en muros divisorios y en el encuentro muro-cielo del último piso.,No,,,C-11,2026-08-11 14:20,,
D-0009,2026-08-11,form_residente,Calle 93 4-35 (ejemplo),El Sena,05,3.46713,-76.50138,geocodificada,,,NARANJA,,,edificio,,,varía,,No,,,,,,
D-0010,2026-08-11,cruz_roja,Calle 82 22-52 (ejemplo),Petecuy II,06,3.48165,-76.48322,geocodificada,3.48165,-76.48322,ROJO,,,casa,,,varía,Colapso estructural parcial: losa de entrepiso caída y columnas con fisuras pasantes.,Sí,1,cuadrilla C-01 en sitio,C-01,2026-08-11 14:20,,
